97.28,2.72
99.99,0.01
100.00,0.00
0.87,99.13
99.99,0.01
100.00,0.00
99.97,0.03
100.00,0.00
99.94,0.06
97.86,2.14
99.99,0.01
0.04,99.96
99.48,0.52
30.61,69.39
100.00,0.00
100.00,0.00
30.61,69.39
30.61,69.39
100.00,0.00
99.98,0.02
1.34,98.66
99.98,0.02
99.99,0.01
99.96,0.04
100.00,0.00
100.00,0.00
100.00,0.00
30.61,69.39
99.99,0.01
100.00,0.00
100.00,0.00
99.29,0.71
30.61,69.39
98.05,1.95
99.90,0.10
100.00,0.00
99.94,0.06
1.34,98.66
99.38,0.62
99.50,0.50
30.61,69.39
0.52,99.48
100.00,0.00
100.00,0.00
98.05,1.95
100.00,0.00
100.00,0.00
98.77,1.23
100.00,0.00
4.54,95.46
0.54,99.46
100.00,0.00
100.00,0.00
99.78,0.22
74.38,25.62
0.66,99.34
100.00,0.00
100.00,0.00
100.00,0.00
30.61,69.39
100.00,0.00
99.50,0.50
1.34,98.66
99.94,0.06
100.00,0.00
99.78,0.22
88.64,11.36
100.00,0.00
99.99,0.01
100.00,0.00
99.99,0.01
100.00,0.00
99.24,0.76
0.77,99.23
71.07,28.93
100.00,0.00
0.52,99.48
30.61,69.39
54.04,45.96
99.99,0.01
99.87,0.13
99.96,0.04
97.99,2.01
1.34,98.66
100.00,0.00
1.34,98.66
100.00,0.00
99.99,0.01
100.00,0.00
99.30,0.70
1.34,98.66
100.00,0.00
100.00,0.00
58.56,41.44
100.00,0.00
100.00,0.00
99.98,0.02
100.00,0.00
80.71,19.29
100.00,0.00
99.97,0.03
30.61,69.39
1.34,98.66
100.00,0.00
100.00,0.00
0.00,100.00
99.99,0.01
99.94,0.06
100.00,0.00
30.61,69.39
30.61,69.39
99.99,0.01
74.38,25.62
100.00,0.00
100.00,0.00
100.00,0.00
50.26,49.74
99.89,0.11
100.00,0.00
1.34,98.66
100.00,0.00
100.00,0.00
0.87,99.13
99.99,0.01
100.00,0.00
99.96,0.04
99.76,0.24
100.00,0.00
100.00,0.00
99.39,0.61
99.50,0.50
100.00,0.00
98.80,1.20
99.91,0.09
100.00,0.00
1.34,98.66
94.17,5.83
1.34,98.66
100.00,0.00
100.00,0.00
99.95,0.05
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
30.61,69.39
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
30.61,69.39
100.00,0.00
99.24,0.76
100.00,0.00
100.00,0.00
100.00,0.00
30.61,69.39
30.61,69.39
100.00,0.00
100.00,0.00
98.05,1.95
100.00,0.00
22.24,77.76
100.00,0.00
98.57,1.43
100.00,0.00
100.00,0.00
0.52,99.48
99.93,0.07
1.34,98.66
100.00,0.00
11.70,88.30
100.00,0.00
99.76,0.24
100.00,0.00
99.76,0.24
99.13,0.87
99.96,0.04
43.54,56.46
99.99,0.01
100.00,0.00
74.38,25.62
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
1.34,98.66
100.00,0.00
0.87,99.13
100.00,0.00
99.99,0.01
17.74,82.26
100.00,0.00
30.61,69.39
0.50,99.50
99.99,0.01
99.50,0.50
99.99,0.01
100.00,0.00
1.34,98.66
100.00,0.00
99.98,0.02
100.00,0.00
100.00,0.00
1.34,98.66
100.00,0.00
98.05,1.95
100.00,0.00
100.00,0.00
15.12,84.88
98.05,1.95
0.52,99.48
99.36,0.64
54.82,45.18
98.05,1.95
100.00,0.00
99.50,0.50
100.00,0.00
30.61,69.39
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
100.00,0.00
99.25,0.75
99.99,0.01
100.00,0.00
100.00,0.00
74.38,25.62
1.34,98.66
99.94,0.06
100.00,0.00
30.61,69.39
1.54,98.46
100.00,0.00
99.50,0.50
99.87,0.13
3.00,97.00
2.19,97.81
99.87,0.13
99.94,0.06
100.00,0.00
100.00,0.00
30.61,69.39
100.00,0.00
99.87,0.13
80.71,19.29
100.00,0.00
100.00,0.00
